Group,Treatment,Mouse,Day,TV,TV0,logTV,RTV,DeltaTV,logRTV,Cell.line
Group 4,Rabu_Cytar,mouse1,0,172.289,172.289,5.15496072096207,1,0,0,Melmet5
Group 4,Rabu_Cytar,mouse1,3,150.606,172.289,5.0212850502615,0.874147507966266,-21.683,-0.134506144150452,Melmet5
Group 4,Rabu_Cytar,mouse1,7,176.9645,172.289,5.18158409219939,1.02713754215301,4.6755,0.0267758481261553,Melmet5
Group 4,Rabu_Cytar,mouse1,10,252.9835,172.289,5.53726930427858,1.46836710410995,80.6945,0.384150969849388,Melmet5
Group 4,Rabu_Cytar,mouse1,14,289.283,172.289,5.67085630920564,1.67905670124036,116.994,0.518232148365182,Melmet5
Group 4,Rabu_Cytar,mouse1,17,357.11,172.289,5.88084020177506,2.07273824794386,184.821,0.72887055820864,Melmet5
Group 2,Rabusertib,mouse2,0,205.6855,205.6855,5.33119831425129,1,0,0,Melmet5
Group 2,Rabusertib,mouse2,3,295.569,205.6855,5.69227990637227,1.43699482948482,89.8835,0.362554008958765,Melmet5
Group 2,Rabusertib,mouse2,7,333.766,205.6855,5.81343178029238,1.62270067651828,128.0805,0.484091845472295,Melmet5
Group 2,Rabusertib,mouse2,10,439.4365,205.6855,6.08776628061496,2.1364486072183,233.751,0.759144921152339,Melmet5
Group 2,Rabusertib,mouse2,14,451.1815,205.6855,6.11408364790571,2.19355034749654,245.496,0.785521394402219,Melmet5
Group 2,Rabusertib,mouse2,17,531.6555,205.6855,6.27787487373374,2.58479815057454,325.97,0.949647420027485,Melmet5
Group 4,Rabu_Cytar,mouse3,0,212.868,212.868,5.36535900227873,1,0,0,Melmet5
Group 4,Rabu_Cytar,mouse3,3,225.3595,212.868,5.42212444340106,1.05868190615781,12.4915,0.0570246495985098,Melmet5
Group 4,Rabu_Cytar,mouse3,7,321.864,212.868,5.77723118192353,1.51203562771295,108.996,0.413456840781947,Melmet5
Group 4,Rabu_Cytar,mouse3,10,332.55,212.868,5.80979277915552,1.56223575173347,119.682,0.446117969435628,Melmet5
Group 4,Rabu_Cytar,mouse3,14,366.4495,212.868,5.9065858942446,1.7214870248229,153.5815,0.543188466633503,Melmet5
Group 4,Rabu_Cytar,mouse3,17,393.209,212.868,5.97688122550822,1.84719638461394,180.341,0.613669021831212,Melmet5
Group 4,Rabu_Cytar,mouse5,0,129.339,129.339,4.87013874863297,1,0,0,Melmet5
Group 4,Rabu_Cytar,mouse5,3,122.1385,129.339,4.81330973815177,0.944328470144349,-7.20049999999999,-0.0572812176977819,Melmet5
Group 4,Rabu_Cytar,mouse5,7,110.406,129.339,4.71318118600688,0.853617238419966,-18.933,-0.158272384236037,Melmet5
Group 4,Rabu_Cytar,mouse5,10,137.3765,129.339,4.92997823107845,1.06214289580096,8.03750000000002,0.0602884672531353,Melmet5
Group 4,Rabu_Cytar,mouse5,14,193.806,129.339,5.27200419155545,1.49843434694872,64.467,0.404420794301418,Melmet5
Group 4,Rabu_Cytar,mouse5,17,196.1975,129.339,5.28420576460339,1.51692451619388,66.8585,0.416684940521855,Melmet5
Group 2,Rabusertib,mouse11,0,157.8215,157.8215,5.06778093007679,1,0,0,Melmet5
Group 2,Rabusertib,mouse11,3,181.9035,157.8215,5.20895869135369,1.15259010971256,24.082,0.142011679133847,Melmet5
Group 2,Rabusertib,mouse11,7,251.4075,157.8215,5.53104484496409,1.59298638018267,93.586,0.465610481100194,Melmet5
Group 2,Rabusertib,mouse11,10,280.24,157.8215,5.63920839733096,1.77567695149267,122.4185,0.574181731342715,Melmet5
Group 2,Rabusertib,mouse11,14,412.216,157.8215,6.02397045866424,2.61191282556559,254.3945,0.9600828362652,Melmet5
Group 2,Rabusertib,mouse11,17,397.1355,157.8215,5.98679239960502,2.51635867103025,239.314,0.922812884731404,Melmet5
Group 1,Ctrl,mouse12,0,153.75,153.75,5.04181091156471,1,0,0,Melmet5
